('Afghanistan', 62912669167.0, 0.073278412),
('Angola', 184437662368.0, 0.373074223),
('Albania', 32663238936.0, 0.271049845),
('Argentina', 882358844160.0, 0.11057819),
('Armenia', 25329201238.0, 0.297333847),
('Azerbaijan', 171214494402.0, 0.378141783),
('Burundi', 8227818146.0, 0.071030216),
('Benin', 22954763233.0, 0.268830288),
('Burkina Faso', 30041128246.0, 0.33420275),
('Bangladesh', 536566830315.0, 0.173366749),
('Bulgaria', 125699285209.0, 0.664649835),
('Belarus', 168008584870.0, 0.600651235),
('Brazil', 3192398002509.0, 0.130426948),
('Central African Republic', 2927262911.0, 0.091891363),
('Chile', 400534442322.0, 0.300525994),
('China', 19524348171415.0, 0.223740509),
("Cote d'Ivoire", 79360774756.0, 0.454029206),
('Cameroon', 72895559665.0, 0.169574465),
('Congo, Rep.', 29422821815.0, 0.692755606),
('Colombia', 665594053125.0, 0.147146341),
('Dominican Republic', 149626592866.0, 0.246369597),
('Ecuador', 183854538952.0, 0.210701765),
('Egypt, Arab Rep.', 996638129040.0, 0.132068483),
('Spain', 1602660452817.0, 0.331478279),
('Estonia', 36860327909.0, 0.797609686),
('Ethiopia', 161570921285.0, 0.09827312),
('Gabon', 34523334038.0, 0.45881116),
('Georgia', 35609731219.0, 0.450420612),
('Ghana', 115136546616.0, 0.440565405),
('Guinea', 15212635899.0, 0.26809181),
('Greece', 288778094737.0, 0.301149643),
('Guatemala', 125950437098.0, 0.212899626),
('Honduras', 41057404059.0, 0.450845755),
('Croatia', 92432005034.0, 0.493783752),
('Haiti', 18874759925.0, 0.198492567),
('Indonesia', 2842240508777.0, 0.210919758),
('Iraq', 542519589883.0, 0.284953475),
('Italy', 2182579699550.0, 0.302409106),
('Jamaica', 24703884112.0, 0.301252316),
('Jordan', 82631102215.0, 0.378244527),
('Kazakhstan', 453980728694.0, 0.286257534),
('Kenya', 141950884423.0, 0.157690201),
('Cambodia', 54262911722.0, 0.676158083),
('Lao PDR', 38604831855.0, 0.348485819),
('Lebanon', 81547339207.0, 0.569415899),
('Liberia', 3765554194.0, 0.234778373),
('Libya', 88866632895.0, 0.289502586),
('Sri Lanka', 246117281533.0, 0.205256),
('Lithuania', 80699093694.0, 0.772915619),
('Latvia', 48048688556.0, 0.587598502),
('Macao SAR, China', 65382963804.0, 0.777875049),
('Moldova', 17907592058.0, 0.434294975),
('Madagascar', 35365948356.0, 0.331825311),
('Mexico', 2194431313648.0, 0.35335622),
('Macedonia, FYR', 28906996529.0, 0.485253088),
('Mali', 42737160309.0, 0.218056056),
('Mongolia', 36067684621.0, 0.449369833),
('Mozambique', 33176597932.0, 0.26163924),
('Malawi', 20359121923.0, 0.281110942),
('Malaysia', 815644552977.0, 0.710031654),
('Namibia', 25606197768.0, 0.439047592),
('Niger', 18974643520.0, 0.171769086),
('Nicaragua', 31564122172.0, 0.375207427),
('Nepal', 70090459205.0, 0.116520236),
('Pakistan', 952505420987.0, 0.10946127),
('Peru', 389146724478.0, 0.210291087),
('Philippines', 741029139381.0, 0.27935343),
('Poland', 993129043249.0, 0.493617911),
('Portugal', 302328671399.0, 0.403356159),
('Paraguay', 60976954890.0, 0.418618246),
('Qatar', 321417765757.0, 0.553665249),
('Romania', 424474231139.0, 0.410936485),
('Russian Federation', 3579826387385.0, 0.295318405),
('Rwanda', 20418305189.0, 0.144252184),
('Saudi Arabia', 1685203505624.0, 0.33749789),
('Sudan', 167908849209.0, 0.069071088),
('Senegal', 36776220601.0, 0.277944361),
('Singapore', 471630937869.0, 1.764949634),
('Sierra Leone', 10264448142.0, 0.198052722),
('El Salvador', 52701274341.0, 0.259587934),
('South Sudan', 22829044891.0, 0.097769917),
('Chad', 30480978104.0, 0.298325271),
('Togo', 10663199059.0, 0.458162067),
('Turkey', 1543283930048.0, 0.279618162),
('Tanzania', 138461029364.0, 0.207828762),
('Uganda', 71246084679.0, 0.174879586),
('Ukraine', 339154695998.0, 0.527690408),
('Uruguay', 72750983105.0, 0.223019146),
('Uzbekistan', 187667827321.0, 0.206652496),
('Vietnam', 552297374128.0, 0.897792486),
('South Africa', 723515991686.0, 0.308972318),
('Congo, Dem. Rep.', 60482256092.0, 0.294904393),
('Zimbabwe', 27984877195.0, 0.262450276),
